Week,Day,Repo Url,Name,Category
12,Monday,https://git.generalassemb.ly/ga-wdi-boston/ember-object-diagnostic,Ember Object Diagnostic,Diagnostic
12,Monday,https://git.generalassemb.ly/ga-wdi-boston/ember-resources,Ember Resources,Training
12,Tuesday,https://git.generalassemb.ly/ga-wdi-boston/ember-routing-diagnostic,Ember Routing Diagnostic,Diagnostic
12,Wednesday,https://git.generalassemb.ly/ga-wdi-boston/ember-components-diagnostic,Ember Components Diagnostic,Diagnostic
12,Wednesday,https://git.generalassemb.ly/ga-wdi-boston/ember-auth-template-walkthrough,Authentication in Ember,Template/Guide
12,Wednesday,https://git.generalassemb.ly/ga-wdi-boston/capstone-project,Your Capstone Project,Project
12,Thursday,https://git.generalassemb.ly/ga-wdi-boston/js-finite-state-machine-challenge,JS Finite State Machine Challenge,Challenge
12,Thursday,https://git.generalassemb.ly/ga-wdi-boston/ember-deployment-guide/,Ember Deployment Guide,Guide
