Week,Day,Repo Url,Name,Category
6,Monday,https://git.generalassemb.ly/ga-wdi-boston/ruby-enumerable-diagnostic,Ruby Enumerables Diagnostic,Diagnostic
6,Monday,https://git.generalassemb.ly/ga-wdi-boston/sql,An introduction to relational databases,Training
6,Monday,https://git.generalassemb.ly/ga-wdi-boston/rails-api/,Rails API Overview,Training
6,Monday,https://git.generalassemb.ly/ga-wdi-boston/rails-activerecord-crud-study,Rails: ActiveRecord Study,Study
6,Monday,https://git.generalassemb.ly/ga-wdi-boston/rails-migrations-study,Rails Migrations Study,Study
6,Tuesday,https://git.generalassemb.ly/ga-wdi-boston/ruby-fibonacci-challenge,Ruby Fibonacci Challenge,Challenge
6,Tuesday,https://git.generalassemb.ly/ga-wdi-boston/rails-api-single-resource,Rails API Single Resource,Training
6,Tuesday,https://git.generalassemb.ly/ga-wdi-boston/rails-api-library-demo,Rails API: Library API (Demo),Training
6,Tuesday,https://git.generalassemb.ly/ga-wdi-boston/rails-api-clinic-code-along,Rails API: Clinic API (Code-along),Training
6,Tuesday,https://git.generalassemb.ly/ga-wdi-boston/rails-api-cookbook-lab,Rails API: Cookbook API (Lab),Training
6,Tuesday,https://git.generalassemb.ly/ga-wdi-boston/ruby-objects-practice,MBTA Practice,Practice
6,Wednesday,https://git.generalassemb.ly/ga-wdi-boston/sql-diagnostic,Diagnostic: An introduction to relational databases,Diagnostic
6,Wednesday,https://git.generalassemb.ly/ga-wdi-boston/sql-references,An Introduction to PostgreSQL Foreign Key References,Training
6,Thursday,https://git.generalassemb.ly/ga-wdi-boston/rails-api-diagnostic,Rails API Diagnostic,Diagnostic
6,Thursday,https://git.generalassemb.ly/ga-wdi-boston/rails-api-one-to-many,Rails API: One-To-Many,Training
6,Friday,https://git.generalassemb.ly/ga-wdi-boston/rails-api-single-resource-diagnostic,Rails API Diagnostic,Diagnostic
6,Friday,https://git.generalassemb.ly/ga-wdi-boston/sql-references-join-tables,An Intro to many-to-many relationships on PostgreSQL,Training
6,Friday,https://git.generalassemb.ly/ga-wdi-boston/rails-api-many-to-many,Rails API Many-To-Many,Training
6,Friday,https://git.generalassemb.ly/ga-wdi-boston/full-stack-project,Building A Full-Stack Application,Project
6,Friday,https://git.generalassemb.ly/ga-wdi-boston/rails-heroku-setup-guide,Rails Deployment with Heroku,Guide
