Week,Day,Repo Url,Name,Category
1,Monday,https://git.generalassemb.ly/ga-wdi-boston/installfest,Installfest,Env. Setup
1,Monday,https://git.generalassemb.ly/ga-wdi-boston/orientation,Orientation,Orientation
1,Tuesday,https://git.generalassemb.ly/ga-wdi-boston/unix-cli,Unix Command Line,Training
1,Tuesday,https://git.generalassemb.ly/ga-wdi-boston/git,Git Basics,Training
1,Tuesday,https://git.generalassemb.ly/ga-wdi-boston/git-github,Git and Github,Training
1,Tuesday,https://git.generalassemb.ly/ga-wdi-boston/git-practice,Git Basics: Practice,Practice
1,Wednesday,https://git.generalassemb.ly/ga-wdi-boston/unix-cli-diagnostic,Unix/CLI Diagnostic,Diagnostic
1,Wednesday,https://git.generalassemb.ly/ga-wdi-boston/js,Javascript Basics,Training
1,Wednesday,https://ga-students.slack.com/archives/G8GEP4BK7/p1516824328000186,JS Practice,Practice
1,Thursday,https://git.generalassemb.ly/ga-wdi-boston/git-diagnostic,Git Basics Diagnostic,Diagnostic
1,Thursday,https://git.generalassemb.ly/ga-wdi-boston/js-reference-types,Javascript Reference Types,Training
1,Thursday,https://git.generalassemb.ly/ga-wdi-boston/js-reference-types-practice,MBTA Practice,Practice
1,friday,https://git.generalassemb.ly/ga-wdi-boston/js-diagnostic,JS Basics Diagnostic,Diagnostic
1,friday,https://git.generalassemb.ly/ga-wdi-boston/js-object-modeling,JS Object Modeling,Training
1,friday,https://git.generalassemb.ly/ga-wdi-boston/js-objects-this,Javascript Objects: Referencing Own Properties,Training
1,friday,https://git.generalassemb.ly/ga-wdi-boston/js-this-prototype-study,This and Prototype Study,Study
1,friday,https://git.generalassemb.ly/gist/MicFin/7ee46696e093d9d3f235d1d2f5cc1612,Array and Objects,Practice
1,friday,https://git.generalassemb.ly/gist/MicFin/f032cee7ecc67f2ca2385f2f0aac37d6,Javascript Function Challenges,Challenge
